id,lemma,pos,count
8436,паказацца,VERB,5
8437,бязгучны,ADJ,5
8438,здзяйсняць,VERB,5
8439,сосна,ADJ,5
8440,світанак,NOUN,5
8441,грыняць,ADJ,5
8442,зязюць,VERB,5
8443,цудны,ADJ,5
8444,мілей,ADV,5
8445,званк,NOUN,5
8446,вопратак,NOUN,5
8447,лебедзь,PROPN,5
8448,патухнуць,VERB,5
8449,засціць,VERB,5
8450,дзяціны,ADJ,5
8451,ласа,ADV,5
8452,паспяшаць,VERB,5
8453,груб,NOUN,5
8454,май,ADJ,5
8455,купчасты,ADJ,5
8456,дзяць,NOUN,5
8457,неразумны,ADJ,5
8458,адхіліць,VERB,5
8459,кар’ерыст,NOUN,5
8460,стральцо,NOUN,5
8461,чутно,ADV,5
8462,воча,NOUN,5
8463,парус,NOUN,5
8464,гамон,NOUN,5
8465,джамбуле,ADV,5
8466,шалее,VERB,5
8467,бэза,NOUN,5
8468,пустынны,ADJ,5
8469,дзірван,NOUN,5
8470,казкі,ADJ,5
8471,валакно,NOUN,5
8472,маркотна,ADV,5
8473,матулька,NOUN,5
8474,прамаўляць,VERB,5
8475,атруць,VERB,5
8476,збяр,VERB,5
8477,абмахнуць,VERB,5
8478,спакон,NOUN,5
8479,табе,PRON,5
8480,бязмежжа,NOUN,5
8481,грамада,PROPN,5
8482,пракладаць,VERB,5
8483,пазнауць,VERB,5
8484,галаса,NOUN,5
8485,грань,NOUN,5
8486,савет,PROPN,5
8487,спаці,NOUN,5
8488,палок,NOUN,5
8489,а,ADV,5
8490,прыгадваць,VERB,5
8491,тлумачэнне,NOUN,5
8492,адрозніць,VERB,5
8493,жаласны,ADJ,5
8494,колісь,PART,5
8495,шапкі,ADJ,5
8496,асла,NOUN,5
8497,аднэй,VERB,5
8498,завець,VERB,5
8499,пан,ADV,5
8500,падружыць,VERB,5
8501,прасвятленне,NOUN,5
8502,шчаслівейшы,ADJ,5
8503,даспець,VERB,5
8504,локaць,NOUN,5
8505,дажджлівы,ADJ,5
8506,дзятл,NOUN,5
8507,збягаць,VERB,5
8508,травінка,NOUN,5
8509,развецца,VERB,5
8510,рэзкі,ADJ,5
8511,еднасць,NOUN,5
